Team,Match,Alliance,Time,X,Y
7461,58,blue,5.7,null,null
7461,58,blue,5.8,null,null
7461,58,blue,5.9,null,null
7461,58,blue,6.0,null,null
7461,58,blue,6.1,null,null
7461,58,blue,6.2,null,null
7461,58,blue,6.3,null,null
7461,58,blue,6.4,null,null
7461,58,blue,6.5,null,null
7461,58,blue,6.6,null,null
7461,58,blue,6.7,null,null
7461,58,blue,6.8,null,null
7461,58,blue,6.9,null,null
7461,58,blue,7.0,null,null
7461,58,blue,7.1,null,null
7461,58,blue,7.2,null,null
7461,58,blue,7.3,null,null
7461,58,blue,7.4,null,null
7461,58,blue,7.5,null,null
7461,58,blue,7.6,null,null
7461,58,blue,7.7,null,null
7461,58,blue,7.8,null,null
7461,58,blue,7.9,null,null
7461,58,blue,8.0,null,null
7461,58,blue,8.1,null,null
7461,58,blue,8.2,null,null
7461,58,blue,8.3,null,null
7461,58,blue,8.4,null,null
7461,58,blue,8.5,null,null
7461,58,blue,8.6,null,null
7461,58,blue,8.7,null,null
7461,58,blue,8.8,null,null
7461,58,blue,8.9,null,null
7461,58,blue,9.0,null,null
7461,58,blue,9.1,null,null
7461,58,blue,9.2,null,null
7461,58,blue,9.3,null,null
7461,58,blue,9.4,null,null
7461,58,blue,9.5,null,null
7461,58,blue,9.6,null,null
7461,58,blue,9.7,null,null
7461,58,blue,9.8,null,null
7461,58,blue,9.9,null,null
7461,58,blue,10.0,null,null
7461,58,blue,10.1,null,null
7461,58,blue,10.2,null,null
7461,58,blue,10.3,null,null
7461,58,blue,10.4,null,null
7461,58,blue,10.5,null,null
7461,58,blue,10.6,null,null
7461,58,blue,10.7,null,null
7461,58,blue,10.8,null,null
7461,58,blue,10.9,null,null
7461,58,blue,11.0,null,null
7461,58,blue,11.1,null,null
7461,58,blue,11.2,null,null
7461,58,blue,11.3,null,null
7461,58,blue,11.4,null,null
7461,58,blue,11.5,null,null
7461,58,blue,11.6,null,null
7461,58,blue,11.7,null,null
7461,58,blue,11.8,null,null
7461,58,blue,11.9,null,null
7461,58,blue,12.0,null,null
7461,58,blue,12.1,null,null
7461,58,blue,12.2,null,null
7461,58,blue,12.3,null,null
7461,58,blue,12.4,null,null
7461,58,blue,12.5,null,null
7461,58,blue,12.6,null,null
7461,58,blue,12.7,null,null
7461,58,blue,12.8,null,null
7461,58,blue,12.9,null,null
7461,58,blue,13.0,null,null
7461,58,blue,13.1,null,null
7461,58,blue,13.2,null,null
7461,58,blue,13.3,null,null
7461,58,blue,13.4,null,null
7461,58,blue,13.5,null,null
7461,58,blue,13.6,null,null
7461,58,blue,13.7,null,null
7461,58,blue,13.8,null,null
7461,58,blue,13.9,null,null
7461,58,blue,14.0,null,null
7461,58,blue,14.1,null,null
7461,58,blue,14.2,null,null
7461,58,blue,14.3,null,null
7461,58,blue,14.4,null,null
7461,58,blue,14.5,null,null
7461,58,blue,14.6,null,null
7461,58,blue,14.7,null,null
7461,58,blue,14.8,null,null
7461,58,blue,14.9,null,null
7461,58,blue,15.0,null,null
7461,58,blue,15.1,null,null
7461,58,blue,15.2,null,null
7461,58,blue,15.3,null,null
7461,58,blue,15.4,null,null
7461,58,blue,15.5,null,null
7461,58,blue,15.6,null,null
7461,58,blue,15.7,null,null
7461,58,blue,15.8,null,null
7461,58,blue,15.9,null,null
7461,58,blue,16.0,null,null
492,58,blue,0,8.22,25.1
