Team,Match,Alliance,Time,X,Y
2522,44,blue,122.8,24,18
949,44,blue,54.5,14,20
7118,45,red,15.7,40,14
7118,45,red,36.3,34,16
1318,45,red,4.9,46,6
1318,45,red,58.6,48,6
8248,45,blue,6.3,6,6
8248,45,blue,10.0,4,6
8248,45,blue,17.4,0,8
8248,45,blue,45.4,54,18
8248,45,blue,87.9,52,18
8248,45,blue,114.1,2,18
2903,45,blue,51.7,8,14
492,46,red,7.8,40,6
492,46,red,146.7,30,12
1294,46,red,17.2,44,8
1294,46,red,58.8,44,4
1294,46,red,103.1,44,2
1294,46,red,140.8,46,4
2910,46,blue,108.2,10,24
2930,46,blue,62.0,16,24
2930,46,blue,142.5,24,18
4683,47,red,10.9,34,24
4683,47,red,32.5,52,8
4683,47,red,63.7,48,10
4683,47,red,72.7,26,4
4681,47,red,6.4,44,4
4681,47,red,15.1,36,2
4681,47,red,89.4,42,10
4681,47,red,104.2,40,6
3070,47,red,9.4,52,8
3070,47,red,71.5,24,22
3070,47,red,126.3,24,8
3070,47,red,143.9,26,12
2412,47,blue,16.0,0,20
3826,47,blue,50.5,40,26
3826,47,blue,54.2,4,20
4173,48,red,46.4,44,12
4173,48,red,74.7,36,14
4173,48,red,86.1,36,16
4173,48,red,89.8,30,12
4173,48,red,112.4,28,10
4173,48,red,118.1,28,8
4173,48,red,136.8,30,8
2928,48,red,10.9,44,8
2928,48,red,99.5,42,6
4513,48,blue,98.8,12,18
4513,48,blue,130.0,22,16
7627,49,red,106.9,10,22
1899,49,red,6.5,40,8
1899,49,red,15.2,42,8
1899,49,red,37.5,38,6
1899,49,red,41.7,38,8
1899,49,red,121.5,30,12
4512,49,red,14.4,42,4
4512,49,red,79.1,26,16
4512,49,red,134.4,24,12
8032,49,blue,7.1,0,18
8032,49,blue,10.8,2,18
8032,49,blue,14.5,0,20
8032,49,blue,18.2,0,18
8032,49,blue,36.8,14,14
8032,49,blue,56.6,2,20
8032,49,blue,99.5,0,20
8032,49,blue,104.1,2,20
8032,49,blue,112.7,4,18
2976,49,blue,17.6,16,22
2976,49,blue,141.7,24,16
4918,50,red,14.2,40,14
2910,50,red,16.5,40,6
2910,50,red,27.7,0,10
2910,50,red,45.8,0,12
2910,50,red,109.5,52,8
7118,50,red,72.6,40,20
7118,50,red,76.9,32,14
7118,50,red,148.6,52,8
4089,50,blue,26.0,26,26
4089,50,blue,134.5,22,14
4681,51,red,7.8,44,4
4681,51,red,23.1,36,4
4513,51,red,143.4,24,10
8248,51,red,29.2,28,16
8248,51,red,36.4,4,10
4131,51,blue,15.7,10,14
4131,51,blue,52.0,46,4
2928,51,blue,115.0,10,24
5588,51,blue,48.9,20,22
5588,51,blue,63.3,14,22
5588,51,blue,81.6,6,12
492,52,red,9.1,40,4
492,52,red,19.4,40,6
492,52,red,72.1,50,10
492,52,red,75.8,38,6
492,52,red,114.3,46,4
492,52,red,132.0,48,4
3070,52,red,34.4,2,10
3070,52,red,38.1,0,10
3070,52,red,79.5,4,8
3070,52,red,106.8,44,14
3070,52,red,118.4,32,14
3070,52,red,132.1,28,12
2903,52,red,55.4,46,18
2930,52,blue,25.7,14,22
2930,52,blue,102.9,28,24
2930,52,blue,118.1,40,22
2930,52,blue,132.8,28,18
4682,52,blue,63.5,32,20
4682,52,blue,81.9,24,18
4309,53,red,29.3,46,8
4309,53,red,47.6,46,10
4309,53,red,59.2,38,6
4309,53,red,73.6,46,10
8032,53,red,12.7,52,14
8032,53,red,22.0,42,14
8032,53,red,48.2,38,18
8032,53,red,146.0,26,12
4911,53,blue,146.2,26,16
1294,53,blue,13.0,8,22
1294,53,blue,68.8,0,22
4180,54,red,9.9,44,8
4180,54,red,13.6,42,8
7627,54,red,11.0,50,20
2522,54,red,8.1,44,4
2522,54,red,11.8,40,2
2522,54,red,15.5,38,2
2522,54,red,47.4,44,4
2522,54,red,102.0,42,8
2522,54,red,118.6,38,10
3826,54,blue,68.4,26,16
