matchNumber,teamNumber,startPosition,preLoadedBalls,auto-bottom port,auto-Outer port,crossedLine,cellsCollected,Bottom Port,Top Port,missed,rotation,colorControl,balanced,parked,climbed,helped,defended,additionalComments
39 ,1778 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
39 ,2930 ,null,true,0,1,false,0,0,14,0,0,false,true,false,true,false,false,  
39 ,7461 ,null,true,0,2,true,0,0,0,0,0,false,false,true,false,false,true,    
39 ,7627 ,null,true,0,0,false,0,3,0,0,0,false,false,false,false,false,true,defends but got 10 points of penalty  
40 ,5588 ,null,true,0,2,true,0,0,5,0,0,false,false,true,false,false,false,  
40 ,4681 ,null,true,0,2,true,0,0,0,0,0,false,false,false,false,false,false,dead midgame  
40 ,492 ,null,true,0,2,true,2,0,4,0,0,false,true,false,true,false,false,  
40 ,4309 ,null,true,0,0,true,0,0,9,0,0,false,false,false,false,false,false,  
40 ,2522 ,null,true,0,0,true,0,0,3,0,0,false,true,false,true,false,false,  
40 ,8248 ,null,true,0,0,false,0,1,0,0,0,false,false,false,false,false,true,  
41 ,1318 ,null,true,0,0,false,0,0,3,0,0,false,false,false,true,false,false,  
41 ,1899 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,true,  
41 ,7118 ,null,false,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
41 ,4205 ,null,true,0,2,false,0,0,2,0,0,false,false,true,false,false,false,  
41 ,3268 ,null,true,0,0,true,3,0,2,0,0,false,false,false,false,false,false,  
41 ,2976 ,null,true,0,3,true,1,0,13,0,0,false,false,false,false,false,false,Why is this team so good???  
42 ,2903 ,null,false,0,0,false,3,0,0,0,0,false,false,false,false,false,false,  
42 ,1294 ,null,true,0,1,false,0,0,1,0,0,false,false,false,false,false,false,  
42 ,3826 ,null,false,0,0,true,0,0,5,0,0,false,false,false,false,false,false,  
42 ,8032 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
42 ,4089 ,null,true,0,3,false,0,0,2,0,0,false,false,false,true,false,false,    
42 ,2412 ,null,true,0,0,false,0,0,4,0,0,false,false,false,false,false,false,  
43 ,8059 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
43 ,3070 ,null,true,3,0,true,0,1,0,0,0,false,false,false,true,false,false,tall boi  
43 ,4180 ,null,true,0,0,false,0,0,1,0,0,false,false,true,false,false,false,  
43 ,4911 ,null,true,0,3,false,2,0,17,0,0,false,false,false,false,false,false,  
43 ,4918 ,null,true,0,0,true,0,0,5,0,0,false,false,true,false,false,false,   
43 ,4915 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
44 ,4309 ,null,false,0,0,false,0,0,1,0,0,false,false,true,false,false,false,Got stuck on control panel in the trench for part of the match  
44 ,4682 ,null,false,0,0,true,0,0,0,0,0,false,false,false,false,false,false,  
44 ,2928 ,null,true,0,3,false,0,0,4,0,0,false,false,false,false,false,false,  
44 ,3268 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,true,  
44 ,2522 ,null,true,0,2,true,0,0,2,0,0,false,false,true,false,false,false,  
44 ,949 ,null,true,0,2,true,0,0,4,0,0,false,false,false,false,false,false,  
45 ,1318 ,null,false,0,1,true,0,0,4,0,0,false,false,true,false,false,false,  
45 ,4131 ,null,false,0,0,false,0,0,0,0,0,false,false,false,true,false,true,  
45 ,8248 ,null,false,0,0,true,0,4,0,0,0,false,false,true,false,false,false,  
45 ,2903 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
45 ,7118 ,null,true,0,0,true,0,0,1,0,0,false,false,false,false,false,false,  
45 ,7461 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,    
